,,,,,,,c41,,,,,,,
,,,,,,c61,c06,c35,,,,,,
,,,,,c33,c57,c14,c55,c36,,,,,
,,,,,c49,c21,c72,c46,c20,,,,,
,,,,,c18,c58,c69,c09,c01,,,,,
,,,,c24,c75,c17,c23,c54,c66,c73,,,,
,,,,c03,c51,c02,c50,c63,c07,c67,,,,
,,,c43,c13,c22,c27,c53,c11,c31,c29,c28,,,
,,,c05,c30,c44,c15,c47,c19,c71,c10,c25,,,
,,c26,c64,c56,c45,c62,c77,c52,c39,c34,c32,c68,,
c37,c38,c59,c70,c48,c74,c60,c42,c65,c76,c40,c08,c04,c16,c12
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,41,,,,,,,
,,,,,,,06,35,,,,,,
,,,,,33,57,14,55,36,,,,,
,,,,,49,21,72,46,20,,,,,
,,,,,18,58,69,09,01,,,,,
,,,,24,75,17,23,54,66,73,,,,
,,,,03,51,02,50,63,07,67,,,,
,,,43,13,22,27,53,11,31,29,28,,,
,,,05,30,44,15,47,19,71,10,25,,,
,,26,64,56,45,62,77,52,39,34,32,68,,
37,38,59,70,48,74,60,42,65,76,40,08,04,16,12
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,41,,,,,,,
,,,,,,,06,35,,,,,,
,,,,,33,57,14,55,36,,,,,
,,,,,49,21,72,46,20,,,,,
,,,,,18,58,69,09,01,,,,,
,,,,24,75,17,23,54,66,73,,,,
,,,,03,51,02,50,63,07,67,,,,
,,,43,13,22,27,53,11,31,29,28,,,
,,,05,30,44,15,47,19,71,10,25,,,
,,26,64,56,45,62,77,52,39,34,32,68,,
37,38,59,70,48,74,60,42,65,76,40,08,04,16,12
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7