,,,,,,,c16,,,,,,,
,,,,,,c67,c47,c15,,,,,,
,,,,,c77,c27,c50,c40,c41,,,,,
,,,,,c34,c74,c25,c32,c28,,,,,
,,,,,c38,c44,c24,c10,c73,,,,,
,,,,c29,c21,c58,c54,c08,c70,c37,,,,
,,,,c02,c68,c14,c26,c07,c35,c56,,,,
,,,c61,c71,c66,c33,c22,c09,c43,c06,c39,,,
,,,c48,c51,c59,c13,c30,c64,c63,c69,c52,,,
,,c62,c45,c75,c04,c42,c20,c17,c05,c19,c76,c55,,
c57,c03,c49,c12,c18,c65,c11,c36,c53,c72,c23,c60,c46,c01,c31
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,16,,,,,,,
,,,,,,67,47,15,,,,,,
,,,,,77,27,50,40,41,,,,,
,,,,,34,74,25,32,28,,,,,
,,,,,38,44,24,10,73,,,,,
,,,,29,21,58,54,08,70,37,,,,
,,,,02,68,14,26,07,35,56,,,,
,,,61,71,66,33,22,09,43,06,39,,,
,,,48,51,59,13,30,64,63,69,52,,,
,,62,45,75,04,42,20,17,05,19,76,55,,
57,03,49,12,18,65,11,36,53,72,23,60,46,01,31
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,16,,,,,,,
,,,,,,67,47,15,,,,,,
,,,,,77,27,50,40,41,,,,,
,,,,,34,74,25,32,28,,,,,
,,,,,38,44,24,10,73,,,,,
,,,,29,21,58,54,08,70,37,,,,
,,,,02,68,14,26,07,35,56,,,,
,,,61,71,66,33,22,09,43,06,39,,,
,,,48,51,59,13,30,64,63,69,52,,,
,,62,45,75,04,72,20,17,05,19,46,55,,
57,03,49,12,18,65,11,36,53,72,23,60,46,01,31
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7