,,,,,,,c08,,,,,,,
,,,,,,c60,c50,c43,,,,,,
,,,,,c16,c01,c05,c40,c52,,,,,
,,,,,c57,c18,c76,c73,c14,,,,,
,,,,,c10,c12,c63,c67,c69,,,,,
,,,,c61,c37,c27,c21,c65,c64,c09,,,,
,,,,c15,c23,c25,c49,c04,c28,c41,,,,
,,,c02,c66,c29,c32,c39,c77,c34,c53,c24,,,
,,,c03,c44,c06,c72,c30,c45,c11,c54,c19,,,
,,c56,c75,c59,c17,c13,c35,c07,c71,c31,c36,c68,,
c38,c70,c51,c58,c48,c62,c74,c33,c42,c26,c22,c47,c46,c55,c20
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,08,,,,,,,
,,,,,,60,50,43,,,,,,
,,,,,16,01,05,40,52,,,,,
,,,,,57,18,76,73,14,,,,,
,,,,,10,12,63,67,69,,,,,
,,,,61,37,27,21,65,64,09,,,,
,,,,15,23,25,49,04,28,41,,,,
,,,02,66,29,32,39,77,34,53,24,,,
,,,03,44,06,72,30,45,11,54,19,,,
,,56,75,59,17,13,35,07,71,31,36,68,,
38,70,51,58,48,62,74,33,42,26,22,47,46,55,20
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Second go through same pictures,,,,,,,,,,,,,,
,,,,,,,08,,,,,,,
,,,,,,60,50,43,,,,,,
,,,,,16,01,05,40,52,,,,,
,,,,,57,18,76,73,14,,,,,
,,,,,10,12,63,67,69,,,,,
,,,,61,37,27,21,65,64,09,,,,
,,,,15,23,25,49,04,28,41,,,,
,,,02,66,29,32,39,77,34,53,24,,,
,,,03,44,06,72,30,45,11,54,19,,,
,,56,75,59,17,13,35,07,71,31,36,68,,
38,70,51,58,48,62,74,33,42,26,22,47,46,55,20
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7