,,,,,,,c45,,,,,,,
,,,,,,c31,c07,c25,,,,,,
,,,,,c27,c04,c10,c17,c46,,,,,
,,,,,c70,c43,c71,c72,c34,,,,,
,,,,,c35,c28,c18,c40,c22,,,,,
,,,,c55,c02,c77,c32,c05,c50,c67,,,,
,,,,c16,c73,c29,c58,c65,c33,c54,,,,
,,,c69,c14,c59,c64,c36,c20,c39,c26,c52,,,
,,,c48,c44,c13,c42,c76,c63,c74,c09,c41,,,
,,c75,c51,c62,c56,c30,c06,c60,c38,c49,c01,c37,,
c12,c15,c03,c61,c23,c57,c68,c24,c66,c21,c47,c08,c11,c19,c53
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,45,,,,,,,
,,,,,,31,07,25,,,,,,
,,,,,27,04,10,17,46,,,,,
,,,,,70,43,71,72,34,,,,,
,,,,,35,28,18,40,22,,,,,
,,,,55,02,77,32,05,50,67,,,,
,,,,16,73,29,58,65,33,54,,,,
,,,69,14,59,64,36,20,39,26,52,,,
,,,48,44,13,42,76,63,74,09,41,,,
,,75,51,62,56,30,06,60,38,49,01,37,,
12,15,03,61,23,57,68,24,66,21,47,08,11,19,53
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is picture (again),,,,,,,,,,,,,,
,,,,,,,45,,,,,,,
,,,,,,31,07,25,,,,,,
,,,,,27,04,10,17,46,,,,,
,,,,,70,43,71,72,34,,,,,
,,,,,35,28,18,40,22,,,,,
,,,,55,02,77,32,05,50,67,,,,
,,,,16,73,29,58,65,33,54,,,,
,,,69,14,59,64,36,20,39,26,52,,,
,,,48,44,13,42,76,63,74,09,41,,,
,,75,51,62,56,30,06,60,38,49,01,37,,
12,15,03,61,23,57,68,24,66,21,47,08,11,19,53
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7